LM1,TS,LM2,REF,B3LYP,DFTB,AM1,PM3,PM3MM,PM6
4c1,4h5,1s5,1,1,1,1,1,1,0
4c1,b25,1s5,0,0,0,0,0,0,0
4c1,4h5,os2,1,1,0,1,1,1,0
4c1,oh5,1s5,1,1,1,1,0,0,0
3s1,3h2,1c4,1,1,1,1,0,0,0
4c1,4h3,bo3,1,1,0,1,1,1,1
4c1,e3,bo3,1,1,1,1,1,1,1
4c1,4h5,bo3,0,0,0,1,0,0,0
os2,3h2,1c4,1,1,1,1,1,1,1
4c1,oh1,5s1,1,1,0,1,1,1,0
4c1,2h1,5s1,1,1,0,1,1,1,0
os2,b25,1c4,1,1,0,1,1,1,0
1s3,eo,1c4,0,0,0,1,0,0,1
bo3,eo,1c4,0,0,0,1,0,0,1
bo3,bo3,1s3,1,1,1,1,1,1,0
bo3,25b,5s1,1,1,1,1,1,1,0
1s3,14b,1c4,0,0,0,0,0,0,1
1s3,1h2,1c4,1,1,1,1,1,1,1
1s3,1ho,1c4,1,1,1,1,1,1,1
1s5,1h2,1c4,1,1,1,1,1,1,1
1s3,5e,1c4,1,1,1,1,1,1,1
bo3,5h4,1c4,1,1,0,1,1,1,0
25b,5h4,1c4,1,1,1,1,1,1,0
4c1,oh5,os2,1,1,1,1,1,1,1
4c1,oh1,3s1,1,1,1,1,1,1,0
1s5,b25,os2,1,1,1,1,0,0,1
4c1,4h3,1s3,1,1,1,1,1,1,0
bo3,4h5,1s5,0,0,0,1,0,0,0
1s3,14b,1s5,1,1,1,1,1,1,1
bo3,14b,1s5,1,1,0,1,0,0,0
bo3,5e,1c4,1,1,1,1,1,1,0
4c1,4e,1s3,1,1,1,1,1,1,0
4c1,4e,bo3,0,0,0,0,0,0,1
3s1,3h4,1c4,1,1,1,1,1,1,1
3s1,b14,25b,0,0,0,1,0,0,0
1s3,1h2,1h2,0,0,0,1,0,0,0
1s3,25b,5s1,1,1,1,1,0,0,0
bo3,2h1,5s1,0,0,0,0,0,0,0
bo3,5e,5s1,0,0,0,1,0,0,0
bo3,5e,5e,0,0,0,1,0,0,1
bo3,e3,1s3,1,0,0,1,0,0,0
bo3,5e,25b,1,1,0,1,0,0,0
25b,5e,1c4,1,1,1,1,1,1,0
4c1,oh1,os2,1,1,0,0,1,1,0
3s1,3ob,os2,1,1,1,0,1,1,0
4c1,b25,os2,1,1,0,0,1,1,0
4c1,3ob,1s5,1,1,0,0,0,0,0
4c1,2h1,3s1,1,1,0,0,0,0,0
4c1,oh5,3s1,1,1,1,0,1,1,0
bo3,1s3,1s3,1,1,1,0,0,0,0
bo3,25b,25b,1,1,0,0,0,0,0
4c1,3ob,3s1,1,1,0,0,0,0,0
4c1,25b,5s1,1,1,0,0,1,1,0
bo3,25b,3s1,1,1,1,0,0,0,0
bo3,1ho,1c4,1,1,0,0,1,1,0
bo3,1h2,1c4,1,1,0,0,1,1,0
3s1,5h4,1c4,1,1,1,0,1,1,0
3s1,b25,1s5,1,1,0,0,0,0,0
4c1,3ob,os2,1,1,0,0,0,0,0
4c1,e3,1s3,1,1,0,0,0,0,0
4c1,25b,3s1,0,1,0,0,0,0,0
bo3,4e,1s5,1,1,0,0,0,0,0
4c1,4h3,1s5,1,1,0,0,0,0,0
4c1,4e,1s5,1,1,0,0,0,0,0
5s1,5h4,1c4,1,1,1,0,1,1,1
3s1,5e,1c4,1,1,0,0,0,0,0
1s3,5h4,1c4,1,1,1,0,0,0,0
3s1,b14,5s1,0,0,1,0,1,1,0
bo3,25b,os2,0,0,1,0,0,0,0
5s1,5e,1c4,0,0,0,0,0,0,0
1s5,1ho,1c4,0,0,0,0,0,0,0
5s1,25b,1c4,0,0,0,0,0,0,0
5s1,25b,25b,0,0,0,0,0,0,0
5s1,5e,25b,0,0,0,0,0,0,0
1s3,1s3,1s3,0,0,0,0,0,0,0
bo3,14b,os2,0,0,1,0,0,0,0
4c1,2h1,25b,0,0,0,0,1,1,0
1s5,3ob,25b,0,0,0,0,1,1,1
4c1,4h5,3s1,0,0,0,0,1,1,0
4c1,b25,3s1,0,0,0,0,1,1,0
4c1,4h5,1s3,0,0,0,0,0,0,1
os2,b25,e2,0,0,0,0,1,1,0
os2,3h2,e2,0,0,0,0,1,1,0
os2,1h2,e2,0,0,0,0,1,1,0
os2,1h2,1c4,1,0,0,0,1,1,0
os2,b25,3h2,0,0,0,0,1,1,0
os2,3h2,3h2,0,0,0,0,1,1,0
5s1,b14,os2,0,0,0,0,1,1,0
5s1,5h4,5h4,0,0,0,0,1,1,0
3s1,5h4,5h4,0,0,0,0,1,1,0
4c1,oh1,25b,0,0,0,0,1,1,0
4c1,e3,e3,0,0,0,0,1,1,0
3s1,3s1,1c4,0,0,0,0,1,1,0
os2,3h4,1c4,0,0,0,0,0,0,1
3s1,b14,3s1,0,0,0,0,1,1,0
5s1,5h4,25b,0,0,0,0,0,0,0
bo3,5h4,5s1,0,0,0,0,0,0,0
1s3,1s5,1s5,0,0,0,0,0,0,1
1s3,bo3,5h4,0,0,0,0,0,0,1
1s3,1s3,5h4,0,0,0,0,0,0,1
bo3,1s3,1c4,0,0,0,0,0,0,1
1e,1h2,1c4,0,0,0,0,0,0,1
os2,3ob,1c4,0,0,0,0,0,0,1
1s5,b25,1c4,0,0,0,0,0,0,1
1s5,3h2,1c4,0,0,0,0,0,0,1
3s1,b25,1h2,0,0,0,0,0,0,1
3s1,3h2,1h2,0,0,0,0,0,0,1
1s5,oh5,os2,0,0,0,0,0,0,1
1s3,eo,5e,0,0,0,0,0,0,1
1s5,3s1,25b,0,0,0,0,0,0,1
5s1,3s1,1c4,0,0,0,0,0,0,1
1s3,1c4,1c4,0,0,0,0,0,0,1
3s1,3ob,1c4,0,0,0,0,0,0,0
3s1,oh5,1s5,0,0,0,0,0,0,1
3s1,3ob,1s5,0,0,0,0,0,0,1
bo3,14b,1s3,0,0,0,0,0,0,1
4c1,2h1,bo3,1,0,0,0,0,0,1
4c1,oh1,bo3,0,0,0,0,0,0,0
1s5,b25,1h2,0,0,0,0,0,0,1
1s5,b25,5e,0,0,0,0,0,0,1
1s5,3h2,5e,0,0,0,0,0,0,1
bo3,25b,1s3,0,0,0,0,0,0,1
bo3,bo3,5e,0,0,0,0,0,0,1
1s5,1h2,1h2,0,0,0,0,0,0,0
1s3,5e,25b,1,0,0,0,0,0,0
4c1,2e,3s1,1,0,0,0,0,0,0
4c1,5h4,5s1,1,0,0,0,0,0,0
4c1,25b,bo3,1,0,0,0,0,0,0
4c1,oh5,1s3,1,0,0,0,0,0,0
