File Name,Solvent type,Stoichiometry,Charge,Mult,Functional,Basis Set,Energy (A.U.),dipole,ZPE (kcal/mol),H298 (Hartrees),G298 (Hartrees),Freq 1,Freq 2,phi,theta,Q,Pucker,HM1 (deg),HM2 (deg),AC1 (deg),AC2 (deg),Ano1 (deg),Ano2 (deg),R1 (A),R2 (A),R3 (A),R4 (A),R5 (A),R6 (A),O1 (A),O2 (A),O3 (A),O4 (A),O6 (A),Ion1 (A),Ion2 (A),Ion3 (A),Ion4 (A),Ion5 (A),Ion6 (A)
beta-xylose29-TS_pm7.log,N/A,C5H10O5,0,1,N/A,N/A,-0.364532192,2.3583,0.148362,-0.205581,-0.250522,-48.6821,75.5618,246.310504,91.96190311,0.659675107,14b,N/A,N/A,N/A,N/A,75.10416364,-72.77444423,1.395735392,1.54423318,1.541704449,1.542155303,1.532786475,1.412765451,1.389780602,1.404577205,1.41610603,1.412522644,N/A,N/A,N/A,N/A,N/A,N/A,N/A
beta-xylose35-TS_pm7.log,N/A,C5H10O5,0,1,N/A,N/A,-0.366068692,2.0307,0.149205,-0.206539,-0.250854,-29.5143,65.6155,139.9108852,110.4667144,0.601417717,5ho,N/A,N/A,N/A,N/A,73.39078557,-125.6696779,1.400595873,1.542729054,1.544725232,1.548085916,1.529764629,1.417472946,1.405853528,1.407825043,1.416807598,1.409811186,N/A,N/A,N/A,N/A,N/A,N/A,N/A
beta-xylose36-TS_pm7.log,N/A,C5H10O5,0,1,N/A,N/A,-0.36614142,1.8233,0.147926,-0.207833,-0.252224,-26.0458,67.8039,139.687748,115.0209155,0.571366465,5ho,N/A,N/A,N/A,N/A,71.97973575,-120.7143921,1.399941054,1.543789581,1.542685739,1.546199496,1.527272396,1.417415956,1.405949547,1.408527868,1.416931026,1.408286748,N/A,N/A,N/A,N/A,N/A,N/A,N/A
beta-xylose39-TS_pm7.log,N/A,C5H10O5,0,1,N/A,N/A,-0.365976965,3.1024,0.1487,-0.206843,-0.251623,-95.9704,53.6788,258.4294225,113.3218901,0.545736217,1h2,N/A,N/A,N/A,N/A,-64.22052036,-57.07341045,1.392355253,1.538095346,1.539258968,1.543681816,1.539191579,1.415475864,1.40478493,1.403643275,1.407406768,1.4108624,N/A,N/A,N/A,N/A,N/A,N/A,N/A
beta-xylose40-TS_pm7.log,N/A,C5H10O5,0,1,N/A,N/A,-0.366722211,2.5932,0.149616,-0.206742,-0.25134,-83.4337,58.2676,252.591597,117.5317482,0.522290363,1e,N/A,N/A,N/A,N/A,59.80036221,-58.54589888,1.391715681,1.538718067,1.537395041,1.545224821,1.536731425,1.413241133,1.406158094,1.401889033,1.409242751,1.420319955,N/A,N/A,N/A,N/A,N/A,N/A,N/A
beta-xylose45-TS_pm7.log,N/A,C5H10O5,0,1,N/A,N/A,-0.363423198,3.3639,0.149416,-0.203561,-0.248703,-133.6111,40.1784,311.1479923,113.1797026,0.488626462,e2,N/A,N/A,N/A,N/A,106.1138368,-72.05653316,1.385946394,1.538865931,1.538139381,1.540757052,1.534919412,1.414427956,1.418479261,1.411951758,1.401791137,1.412291625,N/A,N/A,N/A,N/A,N/A,N/A,N/A
beta-xylose47-TS_pm7.log,N/A,C5H10O5,0,1,N/A,N/A,-0.363215416,2.1449,0.148957,-0.203779,-0.248972,-133.8506,40.7861,326.6653183,110.7015271,0.506476681,3h2,N/A,N/A,N/A,N/A,-117.8431646,-78.56280569,1.391126193,1.540056353,1.537099673,1.540350302,1.533154603,1.411628665,1.419687473,1.415064528,1.402055145,1.412214306,N/A,N/A,N/A,N/A,N/A,N/A,N/A
beta-xylose48-TS_pm7.log,N/A,C5H10O5,0,1,N/A,N/A,-0.364549815,2.4766,0.151485,-0.20285,-0.247193,-65.3027,54.97,245.701074,106.5869034,0.616846036,14b,N/A,N/A,N/A,N/A,61.59378287,-61.74548808,1.402669847,1.542508713,1.544227229,1.545688955,1.535033509,1.409984162,1.388097142,1.403649962,1.418945098,1.40873457,N/A,N/A,N/A,N/A,N/A,N/A,N/A
beta-xylose49-TS_pm7.log,N/A,C5H10O5,0,1,N/A,N/A,-0.362746747,2.5551,0.147291,-0.20475,-0.250135,-66.8866,52.1984,258.5815852,102.0175465,0.620952003,1s5,N/A,N/A,N/A,N/A,75.55635982,-62.24753287,1.398762438,1.542344922,1.544110074,1.542162009,1.534068101,1.410918416,1.387286808,1.40354526,1.419003122,1.406886929,N/A,N/A,N/A,N/A,N/A,N/A,N/A
beta-xylose50-TS_pm7.log,N/A,C5H10O5,0,1,N/A,N/A,-0.357914527,3.3746,0.147232,-0.199875,-0.245601,-160.5245,48.9635,328.2671044,115.6478463,0.480402464,3h2,N/A,N/A,N/A,N/A,119.3023645,-82.42803734,1.39498653,1.543807686,1.536503111,1.538194825,1.532098783,1.40618373,1.397775075,1.41475908,1.413667885,1.411422302,N/A,N/A,N/A,N/A,N/A,N/A,N/A
beta-xylose52-TS_pm7.log,N/A,C5H10O5,0,1,N/A,N/A,-0.359832126,1.4189,0.147384,-0.201595,-0.247077,-35.8843,80.0046,51.01414505,80.85732972,0.652547913,b14,N/A,N/A,N/A,N/A,177.5769209,-168.3784824,1.408668301,1.54794324,1.540275892,1.544265878,1.530941524,1.415584159,1.398383347,1.412991371,1.415201308,1.40760583,N/A,N/A,N/A,N/A,N/A,N/A,N/A
beta-xylose53-TS_pm7.log,N/A,C5H10O5,0,1,N/A,N/A,-0.359821565,1.428,0.146851,-0.202049,-0.247673,-27.5176,78.0811,50.74586031,80.47696499,0.649595129,b14,N/A,N/A,N/A,N/A,177.3048324,-168.257217,1.409188469,1.546522385,1.538662403,1.542381063,1.531574773,1.415529793,1.398051561,1.412860731,1.413544676,1.407971009,N/A,N/A,N/A,N/A,N/A,N/A,N/A
beta-xylose55-TS_pm7.log,N/A,C5H10O5,0,1,N/A,N/A,-0.359799005,1.686,0.148492,-0.200572,-0.246184,-64.19,40.3778,263.6910302,42.93481004,0.513870103,4h5,N/A,N/A,N/A,N/A,144.5183489,-127.909136,1.41119165,1.552004982,1.537556131,1.536337179,1.532218868,1.404157851,1.403329577,1.409491888,1.414500708,1.409661257,N/A,N/A,N/A,N/A,N/A,N/A,N/A
beta-xylose56-TS_pm7.log,N/A,C5H10O5,0,1,N/A,N/A,-0.365822211,1.6205,0.147477,-0.207729,-0.252385,-38.818,117.3518,245.5204962,81.13044004,0.645467236,14b,N/A,N/A,N/A,N/A,-80.30207607,79.71730575,1.388680567,1.545107012,1.538452659,1.538740909,1.531529769,1.416655426,1.414131538,1.412298804,1.407735281,1.411913465,N/A,N/A,N/A,N/A,N/A,N/A,N/A
beta-xylose63-TS_pm7.log,N/A,C5H10O5,0,1,N/A,N/A,-0.36513398,2.2418,0.147013,-0.207369,-0.252511,-41.949,77.1329,124.727053,133.8277197,0.511553622,5e,N/A,N/A,N/A,N/A,76.48187375,109.5442525,1.394675173,1.548915464,1.546677921,1.545696112,1.527530945,1.416066151,1.409432807,1.419483626,1.417890406,1.403576539,N/A,N/A,N/A,N/A,N/A,N/A,N/A
beta-xylose65-TS_pm7.log,N/A,C5H10O5,0,1,N/A,N/A,-0.362051628,0.8175,0.149835,-0.201783,-0.246673,-50.3335,43.7862,170.9338476,131.1925032,0.442865545,eo,N/A,N/A,N/A,N/A,61.35524869,-95.12167085,1.394114745,1.541724668,1.540752422,1.543689122,1.529126423,1.411240113,1.405672172,1.411267604,1.418630376,1.417424952,N/A,N/A,N/A,N/A,N/A,N/A,N/A
beta-xylose68-TS_pm7.log,N/A,C5H10O5,0,1,N/A,N/A,-0.3570272,3.1413,0.146889,-0.199148,-0.244864,-30.2073,79.9664,49.05847247,84.40335131,0.695032539,b14,N/A,N/A,N/A,N/A,174.8861883,-165.268408,1.418784117,1.54905061,1.542950622,1.543301413,1.529922136,1.411105191,1.391740759,1.404231271,1.414518432,1.418161951,N/A,N/A,N/A,N/A,N/A,N/A,N/A
beta-xylose71-TS_pm7.log,N/A,C5H10O5,0,1,N/A,N/A,-0.365012753,3.589,0.147658,-0.206882,-0.251281,-19.8435,101.4945,322.1240681,90.50403914,0.665575765,os2,N/A,N/A,N/A,N/A,140.534815,83.60300913,1.408775856,1.545260482,1.542039115,1.543544019,1.537368316,1.411190698,1.411324538,1.412978149,1.403268413,1.408770468,N/A,N/A,N/A,N/A,N/A,N/A,N/A
beta-xylose74-TS_pm7.log,N/A,C5H10O5,0,1,N/A,N/A,-0.35828999,1.3159,0.148728,-0.198835,-0.244286,-52.9734,51.4901,64.00839008,64.12562249,0.613366297,e1,N/A,N/A,N/A,N/A,-174.6497025,-177.4740621,1.413318862,1.545163329,1.534619583,1.546398016,1.536374042,1.411645435,1.396118224,1.41076745,1.41581728,1.419183459,N/A,N/A,N/A,N/A,N/A,N/A,N/A
beta-xylose76-TS_pm7.log,N/A,C5H10O5,0,1,N/A,N/A,-0.351116175,4.4403,0.147954,-0.192004,-0.239033,-55.3759,25.7297,46.85652809,62.99706944,0.602065004,e1,N/A,N/A,N/A,N/A,166.2230892,172.4499506,1.421181258,1.549748706,1.544249572,1.547598698,1.538048738,1.404119435,1.388971975,1.411788311,1.418481437,1.419992136,N/A,N/A,N/A,N/A,N/A,N/A,N/A
beta-xylose77-TS_pm7.log,N/A,C5H10O5,0,1,N/A,N/A,-0.36105819,1.1984,0.146848,-0.203306,-0.249364,-93.8565,38.3036,230.2036342,46.86533961,0.517313382,4e,N/A,N/A,N/A,N/A,124.7111187,-129.5550755,1.400226107,1.545620682,1.532425819,1.537595009,1.530682117,1.407793841,1.411510618,1.414870417,1.413758701,1.410131327,N/A,N/A,N/A,N/A,N/A,N/A,N/A
beta-xylose85-TS_pm7.log,N/A,C5H10O5,0,1,N/A,N/A,-0.357422084,2.1441,0.149054,-0.197675,-0.243404,-56.4614,29.2827,20.90409912,53.01984932,0.539135723,oh1,N/A,N/A,N/A,N/A,-168.2098107,160.6528976,1.416715283,1.544027716,1.539870424,1.548504057,1.539177966,1.407832731,1.397008048,1.414595658,1.411088236,1.417865469,N/A,N/A,N/A,N/A,N/A,N/A,N/A
beta-xylose89-TS_pm7.log,N/A,C5H10O5,0,1,N/A,N/A,-0.35784217,1.3166,0.149206,-0.197734,-0.244386,-42.4362,18.3098,315.1466489,42.55435512,0.515962766,oh5,N/A,N/A,N/A,N/A,169.3243656,-135.8921976,1.414467336,1.552342599,1.545369671,1.53737717,1.535483939,1.408341162,1.401519112,1.418958454,1.407875728,1.405014858,N/A,N/A,N/A,N/A,N/A,N/A,N/A
